,symboling,CarName,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,diesel,gas,front,rear,std,turbo,price
0,3,2,2,0,2,88.6,168.8,64.1,48.8,2548.0,0,4,130.0,5,3.47,2.68,9.0,111.0,5000.0,21.0,27,0,1,1,0,1,0,13495.0
1,3,3,2,0,2,88.6,168.8,64.1,48.8,2548.0,0,4,130.0,5,3.47,2.68,9.0,111.0,5000.0,21.0,27,0,1,1,0,1,0,16500.0
2,1,1,2,2,2,94.5,171.2,65.5,52.4,2823.0,5,6,152.0,5,2.68,3.47,9.0,154.0,5000.0,19.0,26,0,1,1,0,1,0,16500.0
3,2,4,4,3,1,99.8,176.6,66.2,54.3,2337.0,3,4,109.0,5,3.19,3.4,10.0,102.0,5500.0,24.0,30,0,1,1,0,1,0,13950.0
4,2,5,4,3,0,99.4,176.6,66.4,54.3,2824.0,3,5,136.0,5,3.19,3.4,8.0,115.0,5500.0,18.0,22,0,1,1,0,1,0,17450.0
5,2,9,2,3,1,99.8,177.3,66.3,53.1,2507.0,3,5,136.0,5,3.19,3.4,8.5,110.0,5500.0,19.0,25,0,1,1,0,1,0,15250.0
6,1,5,4,3,1,105.8,192.7,71.4,55.7,2844.0,3,5,136.0,5,3.19,3.4,8.5,110.0,5500.0,19.0,25,0,1,1,0,1,0,17710.0
7,1,7,4,4,1,105.8,192.7,71.4,55.7,2954.0,3,5,136.0,5,3.19,3.4,8.5,110.0,5500.0,19.0,25,0,1,1,0,1,0,18920.0
8,1,6,4,3,1,105.8,192.7,71.4,55.9,3086.0,3,5,131.0,5,3.13,3.4,8.3,140.0,5500.0,17.0,20,0,1,1,0,0,1,23875.0
9,0,8,2,2,0,99.5,178.2,67.9,52.0,3053.0,3,5,131.0,5,3.13,3.4,7.0,160.0,5500.0,16.0,22,0,1,1,0,0,1,17859.167
10,2,10,2,3,2,101.2,176.8,64.8,54.3,2395.0,3,4,108.0,5,3.5,2.8,8.8,101.0,5800.0,23.0,29,0,1,1,0,1,0,16430.0
11,0,10,4,3,2,101.2,176.8,64.8,54.3,2395.0,3,4,108.0,5,3.5,2.8,8.8,101.0,5800.0,23.0,29,0,1,1,0,1,0,16925.0
12,0,11,2,3,2,101.2,176.8,64.8,54.3,2710.0,3,6,164.0,5,3.31,3.19,9.0,121.0,4250.0,21.0,28,0,1,1,0,1,0,20970.0
13,0,12,4,3,2,101.2,176.8,64.8,54.3,2765.0,3,6,164.0,5,3.31,3.19,9.0,121.0,4250.0,21.0,28,0,1,1,0,1,0,21105.0
14,1,15,4,3,2,103.5,189.0,66.9,55.7,3055.0,3,6,164.0,5,3.31,3.19,9.0,121.0,4250.0,20.0,25,0,1,1,0,1,0,24565.0
15,0,13,4,3,2,103.5,189.0,66.9,55.7,3230.0,3,6,209.0,5,3.62,3.39,8.0,182.0,5400.0,16.0,22,0,1,1,0,1,0,30760.0
16,0,14,2,3,2,103.5,193.8,67.9,53.7,3380.0,3,6,209.0,5,3.62,3.39,8.0,182.0,5400.0,16.0,22,0,1,1,0,1,0,41315.0
17,0,12,4,3,2,110.0,197.0,70.9,56.3,3505.0,3,6,209.0,5,3.62,3.39,8.0,182.0,5400.0,15.0,20,0,1,1,0,1,0,36880.0
18,2,24,2,2,1,88.4,141.1,60.3,53.2,1488.0,2,3,61.0,1,2.91,3.03,9.5,48.0,5100.0,47.0,53,0,1,1,0,1,0,5151.0
19,1,25,2,2,1,94.5,155.9,63.6,52.0,1874.0,3,4,90.0,1,3.03,3.11,9.6,70.0,5400.0,38.0,43,0,1,1,0,1,0,6295.0
20,0,26,4,3,1,94.5,158.8,63.6,52.0,1909.0,3,4,90.0,1,3.03,3.11,9.6,70.0,5400.0,38.0,43,0,1,1,0,1,0,6575.0
21,1,35,2,2,1,93.7,157.3,63.8,50.8,1876.0,3,4,90.0,1,2.97,3.23,9.41,68.0,5500.0,37.0,41,0,1,1,0,1,0,5572.0
22,1,27,2,2,1,93.7,157.3,63.8,50.8,1876.0,3,4,90.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,38,0,1,1,0,1,0,6377.0
23,1,32,2,2,1,93.7,157.3,63.8,50.8,2128.0,3,4,98.0,5,3.03,3.39,7.6,102.0,5500.0,24.0,30,0,1,1,0,0,1,7957.0
24,1,34,4,2,1,93.7,157.3,63.8,50.6,1967.0,3,4,90.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,38,0,1,1,0,1,0,6229.0
25,1,29,4,3,1,93.7,157.3,63.8,50.6,1989.0,3,4,90.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,38,0,1,1,0,1,0,6692.0
26,1,28,4,3,1,93.7,157.3,63.8,50.6,1989.0,3,4,90.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,38,0,1,1,0,1,0,7609.0
27,1,30,2,3,1,93.7,157.3,63.8,50.6,2191.0,3,4,98.0,5,3.03,3.39,7.6,102.0,5500.0,24.0,30,0,1,1,0,0,1,8558.0
28,-1,33,4,4,1,103.3,174.6,64.6,59.8,2535.0,3,4,122.0,1,3.34,3.46,8.5,88.0,5000.0,24.0,30,0,1,1,0,1,0,8921.0
29,3,31,2,2,1,95.9,173.2,66.3,50.2,2811.0,3,4,156.0,4,3.6,3.9,7.0,145.0,5000.0,19.0,24,0,1,1,0,0,1,12964.0
30,2,39,2,2,1,86.6,144.6,63.9,50.8,1713.0,3,4,92.0,0,2.91,3.41,9.6,58.0,4800.0,49.0,54,0,1,1,0,1,0,6479.0
31,2,43,2,2,1,86.6,144.6,63.9,50.8,1819.0,3,4,92.0,0,2.91,3.41,9.2,76.0,6000.0,31.0,38,0,1,1,0,1,0,6855.0
32,1,39,2,2,1,93.7,150.0,64.0,52.6,1837.0,3,4,79.0,0,2.91,3.07,10.1,60.0,5500.0,38.0,42,0,1,1,0,1,0,5399.0
33,1,37,2,2,1,93.7,150.0,64.0,52.6,1940.0,3,4,92.0,0,2.91,3.41,9.2,76.0,6000.0,30.0,34,0,1,1,0,1,0,6529.0
34,1,43,2,2,1,93.7,150.0,64.0,52.6,1956.0,3,4,92.0,0,2.91,3.41,9.2,76.0,6000.0,30.0,34,0,1,1,0,1,0,7129.0
35,0,38,4,3,1,96.5,163.4,64.0,54.5,2010.0,3,4,92.0,0,2.91,3.41,9.2,76.0,6000.0,30.0,34,0,1,1,0,1,0,7295.0
36,0,42,4,4,1,96.5,157.1,63.9,58.3,2024.0,3,4,92.0,0,2.92,3.41,9.2,76.0,6000.0,30.0,34,0,1,1,0,1,0,7295.0
37,0,36,2,2,1,96.5,167.5,65.2,53.3,2236.0,3,4,110.0,0,3.15,3.58,9.0,86.0,5800.0,27.0,33,0,1,1,0,1,0,7895.0
38,0,41,2,2,1,96.5,167.5,65.2,53.3,2289.0,3,4,110.0,0,3.15,3.58,9.0,86.0,5800.0,27.0,33,0,1,1,0,1,0,9095.0
39,0,44,4,3,1,96.5,175.4,65.2,54.1,2304.0,3,4,110.0,0,3.15,3.58,9.0,86.0,5800.0,27.0,33,0,1,1,0,1,0,8845.0
40,0,36,4,3,1,96.5,175.4,62.5,54.1,2372.0,3,4,110.0,0,3.15,3.58,9.0,86.0,5800.0,27.0,33,0,1,1,0,1,0,10295.0
41,0,39,4,3,1,96.5,175.4,65.2,54.1,2465.0,3,4,110.0,5,3.15,3.58,9.0,101.0,5800.0,24.0,28,0,1,1,0,1,0,12945.0
42,1,40,2,3,1,96.5,169.1,66.0,51.0,2293.0,3,4,110.0,1,3.15,3.58,9.1,100.0,5500.0,25.0,31,0,1,1,0,1,0,10345.0
43,0,47,4,3,2,94.3,170.7,61.8,53.5,2337.0,3,4,111.0,1,3.31,3.23,8.5,78.0,4800.0,24.0,29,0,1,1,0,1,0,6785.0
44,1,45,2,3,1,94.5,155.9,63.6,52.0,1874.0,3,4,90.0,1,3.03,3.11,9.6,70.0,5400.0,38.0,43,0,1,1,0,1,0,8916.5
45,0,46,4,3,1,94.5,155.9,63.6,52.0,1909.0,3,4,90.0,1,3.03,3.11,9.6,70.0,5400.0,38.0,43,0,1,1,0,1,0,8916.5
46,2,45,2,2,2,96.0,172.6,65.2,51.4,2734.0,3,4,119.0,7,3.43,3.23,9.2,90.0,5000.0,24.0,29,0,1,1,0,1,0,11048.0
47,0,49,4,3,2,113.0,199.6,69.6,52.8,4066.0,0,6,258.0,5,3.63,4.17,8.1,176.0,4750.0,15.0,19,0,1,1,0,1,0,32250.0
48,0,48,4,3,2,113.0,199.6,69.6,52.8,4066.0,0,6,258.0,5,3.63,4.17,8.1,176.0,4750.0,15.0,19,0,1,1,0,1,0,35550.0
49,0,50,2,3,2,102.0,191.7,70.6,47.8,3950.0,5,12,326.0,5,3.54,2.76,11.5,262.0,5000.0,13.0,17,0,1,1,0,1,0,36000.0
50,1,52,2,2,1,93.1,159.1,64.2,54.1,1890.0,3,4,91.0,1,3.03,3.15,9.0,68.0,5000.0,30.0,31,0,1,1,0,1,0,5195.0
51,1,51,2,2,1,93.1,159.1,64.2,54.1,1900.0,3,4,91.0,1,3.03,3.15,9.0,68.0,5000.0,31.0,38,0,1,1,0,1,0,6095.0
52,1,61,2,2,1,93.1,159.1,64.2,54.1,1905.0,3,4,91.0,1,3.03,3.15,9.0,68.0,5000.0,31.0,38,0,1,1,0,1,0,6795.0
53,1,59,4,3,1,93.1,166.8,64.2,54.1,1945.0,3,4,91.0,1,3.03,3.15,9.0,68.0,5000.0,31.0,38,0,1,1,0,1,0,6695.0
54,1,58,4,3,1,93.1,166.8,64.2,54.1,1950.0,3,4,91.0,1,3.08,3.15,9.0,68.0,5000.0,31.0,38,0,1,1,0,1,0,7395.0
55,3,53,2,2,2,95.3,169.0,65.7,49.6,2380.0,6,2,70.0,2,3.33,3.255,9.4,101.0,6000.0,17.0,23,0,1,1,0,1,0,10945.0
56,3,54,2,2,2,95.3,169.0,65.7,49.6,2380.0,6,2,70.0,2,3.33,3.255,9.4,101.0,6000.0,17.0,23,0,1,1,0,1,0,11845.0
57,3,60,2,2,2,95.3,169.0,65.7,49.6,2385.0,6,2,70.0,2,3.33,3.255,9.4,101.0,6000.0,17.0,23,0,1,1,0,1,0,13645.0
58,3,55,2,2,2,95.3,169.0,65.7,49.6,2500.0,6,2,80.0,5,3.33,3.255,9.4,135.0,6000.0,16.0,23,0,1,1,0,1,0,15645.0
59,1,53,2,2,1,98.8,177.8,66.5,53.7,2385.0,3,4,122.0,1,3.39,3.39,8.6,84.0,4800.0,26.0,32,0,1,1,0,1,0,8845.0
60,0,57,4,3,1,98.8,177.8,66.5,55.5,2410.0,3,4,122.0,1,3.39,3.39,8.6,84.0,4800.0,26.0,32,0,1,1,0,1,0,8495.0
61,1,56,2,2,1,98.8,177.8,66.5,53.7,2385.0,3,4,122.0,1,3.39,3.39,8.6,84.0,4800.0,26.0,32,0,1,1,0,1,0,10595.0
62,0,59,4,3,1,98.8,177.8,66.5,55.5,2410.0,3,4,122.0,1,3.39,3.39,8.6,84.0,4800.0,26.0,32,0,1,1,0,1,0,10245.0
63,0,58,4,3,1,98.8,177.8,66.5,55.5,2443.0,3,4,122.0,3,3.39,3.39,22.7,64.0,4650.0,36.0,42,1,0,1,0,1,0,10795.0
64,0,53,4,2,1,98.8,177.8,66.5,55.5,2425.0,3,4,122.0,1,3.39,3.39,8.6,84.0,4800.0,26.0,32,0,1,1,0,1,0,11245.0
65,0,54,4,3,2,104.9,175.0,66.1,54.4,2670.0,3,4,140.0,5,3.76,3.16,8.0,120.0,5000.0,19.0,27,0,1,1,0,1,0,18280.0
66,0,60,4,3,2,104.9,175.0,66.1,54.4,2700.0,3,4,134.0,3,3.43,3.64,22.0,72.0,4200.0,31.0,39,1,0,1,0,1,0,18344.0
67,-1,19,4,3,2,110.0,190.9,70.3,56.5,3515.0,3,5,183.0,3,3.58,3.64,21.5,123.0,4350.0,22.0,25,1,0,1,0,0,1,25552.0
68,-1,17,4,4,2,110.0,190.9,70.3,58.7,3750.0,3,5,183.0,3,3.58,3.64,21.5,123.0,4350.0,22.0,25,1,0,1,0,0,1,28248.0
69,0,16,2,1,2,106.7,187.5,70.3,54.9,3495.0,3,5,183.0,3,3.58,3.64,21.5,123.0,4350.0,22.0,25,1,0,1,0,0,1,28176.0
70,-1,22,4,3,2,115.6,202.6,71.7,56.3,3770.0,3,5,183.0,3,3.58,3.64,21.5,123.0,4350.0,22.0,25,1,0,1,0,0,1,31600.0
71,-1,20,4,3,2,115.6,202.6,71.7,56.5,3740.0,5,8,234.0,5,3.46,3.1,8.3,155.0,4750.0,16.0,18,0,1,1,0,1,0,34184.0
72,3,23,2,0,2,96.6,180.3,70.5,50.8,3685.0,5,8,234.0,5,3.46,3.1,8.3,155.0,4750.0,16.0,18,0,1,1,0,1,0,35056.0
73,0,18,4,3,2,120.9,208.1,71.7,56.7,3900.0,5,8,308.0,5,3.8,3.35,8.0,184.0,4500.0,14.0,16,0,0,1,0,1,0,40960.0
74,1,21,2,1,2,112.0,199.2,72.0,55.4,3715.0,5,8,304.0,5,3.8,3.35,8.0,184.0,4500.0,14.0,16,0,1,1,0,1,0,45400.0
75,1,62,2,2,2,102.7,178.4,68.0,54.8,2910.0,3,4,140.0,5,3.78,3.12,8.0,175.0,5000.0,19.0,24,0,1,1,0,0,1,16503.0
76,2,65,2,2,1,93.7,157.3,64.4,50.8,1918.0,3,4,92.0,1,2.97,3.23,9.4,68.0,5500.0,37.0,41,0,0,1,0,1,0,5389.0
77,2,64,2,2,1,93.7,157.3,64.4,50.8,1944.0,3,4,92.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,38,0,1,1,0,1,0,6189.0
78,2,68,2,2,1,93.7,157.3,64.4,50.8,2004.0,3,4,92.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,38,0,1,1,0,1,0,6669.0
79,1,63,2,2,1,93.0,157.3,63.8,50.8,2145.0,3,4,98.0,6,3.03,3.39,7.6,102.0,5500.0,24.0,30,0,1,1,0,0,1,7689.0
80,3,66,2,2,1,96.3,173.0,65.4,49.4,2370.0,3,4,110.0,6,3.17,3.46,7.5,116.0,5500.0,23.0,30,0,1,1,0,0,1,9959.0
81,3,63,2,2,1,96.3,173.0,65.4,49.4,2328.0,3,4,122.0,1,3.35,3.46,8.5,88.0,5000.0,25.0,32,0,1,1,0,1,0,8499.0
82,3,68,2,2,1,95.9,173.2,66.3,50.2,2833.0,3,4,156.0,6,3.58,3.86,7.0,145.0,5000.0,19.0,24,0,0,1,0,0,1,12629.0
83,3,63,2,2,1,95.9,173.2,66.3,50.2,2921.0,3,4,156.0,6,3.59,3.86,7.0,145.0,5000.0,19.0,24,0,1,1,0,0,1,14869.0
84,3,66,2,2,1,95.9,173.2,66.3,50.2,2926.0,3,4,156.0,6,3.59,3.86,7.0,145.0,5000.0,19.0,24,0,1,1,0,0,1,14489.0
85,1,67,4,3,1,96.3,172.4,65.4,51.6,2365.0,3,4,122.0,1,3.35,3.46,8.5,88.0,5000.0,25.0,32,0,0,1,0,1,0,6989.0
86,1,69,4,3,1,96.3,172.4,65.4,51.6,2405.0,3,4,122.0,1,3.35,3.46,8.5,88.0,5000.0,25.0,32,0,1,1,0,1,0,8189.0
87,1,68,4,3,1,96.3,172.4,65.4,51.6,2403.0,3,4,110.0,6,3.17,3.46,7.5,116.0,5500.0,23.0,30,0,1,1,0,0,1,9279.0
88,-1,66,4,3,1,96.3,172.4,65.4,51.6,2403.0,3,4,110.0,6,3.17,3.46,7.5,116.0,5500.0,23.0,30,0,1,1,0,1,0,9279.0
89,1,0,2,3,1,94.5,165.3,63.8,54.5,1889.0,3,4,97.0,1,3.15,3.29,9.4,69.0,5200.0,31.0,37,0,1,1,0,1,0,5499.0
90,1,73,2,3,1,94.5,165.3,63.8,54.5,2017.0,3,4,103.0,3,2.99,3.47,21.9,55.0,4800.0,45.0,50,1,0,1,0,1,0,7099.0
91,1,81,2,3,1,94.5,165.3,63.8,54.5,1918.0,3,4,97.0,1,3.15,3.29,9.4,69.0,5200.0,31.0,37,0,1,1,0,1,0,6649.0
92,1,76,4,3,1,94.5,165.3,63.8,54.5,1938.0,3,4,97.0,1,3.15,3.29,9.4,69.0,5200.0,31.0,37,0,1,1,0,1,0,6849.0
93,1,83,4,4,1,94.5,170.2,63.8,53.5,2024.0,3,4,97.0,1,3.15,3.29,9.4,69.0,5200.0,31.0,37,0,1,1,0,1,0,7349.0
94,1,77,2,3,1,94.5,165.3,63.8,54.5,1951.0,3,4,97.0,1,3.15,3.29,9.4,69.0,5200.0,31.0,37,0,1,1,0,1,0,7299.0
95,1,74,2,2,1,94.5,165.6,63.8,53.3,2028.0,3,4,97.0,1,3.15,3.29,9.4,69.0,5200.0,31.0,37,0,0,1,0,1,0,7799.0
96,1,76,4,3,1,94.5,165.3,63.8,54.5,1971.0,3,4,97.0,1,3.15,3.29,9.4,69.0,5200.0,31.0,37,0,0,1,0,1,0,7499.0
97,1,78,4,4,1,94.5,170.2,63.8,53.5,2037.0,3,4,97.0,1,3.15,3.29,9.4,69.0,5200.0,31.0,37,0,1,1,0,1,0,7999.0
98,2,70,2,1,1,95.1,162.4,63.8,53.3,2008.0,3,4,97.0,1,3.15,3.29,9.4,69.0,5200.0,31.0,37,0,1,1,0,1,0,8249.0
99,0,81,4,2,1,97.2,173.4,65.2,54.7,2324.0,3,4,120.0,1,3.33,3.47,8.5,97.0,5200.0,27.0,34,0,1,1,0,1,0,8949.0
100,0,79,4,3,1,97.2,173.4,65.2,54.7,2302.0,3,4,120.0,1,3.33,3.47,8.5,97.0,5200.0,27.0,34,0,0,1,0,1,0,9549.0
101,0,71,4,3,1,100.4,181.7,66.5,55.1,3095.0,5,6,181.0,5,3.43,3.27,9.0,152.0,5200.0,17.0,22,0,1,1,0,1,0,13499.0
102,0,72,4,4,1,100.4,184.6,66.5,56.1,3296.0,5,6,181.0,5,3.43,3.27,9.0,152.0,5200.0,17.0,22,0,1,1,0,1,0,14399.0
103,0,80,4,3,1,100.4,184.6,66.5,55.1,3060.0,5,6,181.0,5,3.43,3.27,9.0,152.0,5200.0,19.0,25,0,1,1,0,1,0,13499.0
104,3,82,2,2,2,91.3,170.7,67.9,49.7,3071.0,5,6,181.0,5,3.43,3.27,9.0,160.0,5200.0,19.0,25,0,1,1,0,1,0,17199.0
105,3,75,2,2,2,91.3,170.7,67.9,49.7,3139.0,5,6,181.0,5,3.43,3.27,7.8,200.0,5200.0,17.0,23,0,1,1,0,0,1,19699.0
106,1,70,2,2,2,99.2,178.5,67.9,49.7,3139.0,5,6,181.0,5,3.43,3.27,9.0,160.0,5200.0,19.0,25,0,1,1,0,1,0,18399.0
107,0,85,4,3,2,107.9,186.7,68.4,56.7,3020.0,2,4,120.0,5,3.46,3.19,8.4,97.0,5000.0,19.0,24,0,1,1,0,1,0,11900.0
108,0,84,4,3,2,107.9,186.7,68.4,56.7,3197.0,2,4,152.0,3,3.7,3.52,21.0,95.0,4150.0,28.0,33,1,0,1,0,0,1,13200.0
109,0,86,4,4,2,114.2,198.9,68.4,58.7,3230.0,2,4,120.0,5,3.46,3.19,8.4,97.0,5000.0,19.0,24,0,1,1,0,1,0,12440.0
110,0,85,4,4,2,114.2,198.9,68.4,58.7,3430.0,2,4,152.0,3,3.7,3.52,21.0,95.0,4150.0,25.0,25,1,0,1,0,0,1,13860.0
111,0,85,4,3,2,107.9,186.7,68.4,56.7,3075.0,2,4,120.0,5,3.46,2.19,8.4,95.0,5000.0,19.0,24,0,1,1,0,1,0,15580.0
112,0,88,4,3,2,107.9,186.7,68.4,56.7,3252.0,2,4,152.0,3,3.7,3.52,21.0,95.0,4150.0,28.0,33,1,0,1,0,0,1,16900.0
113,0,85,4,4,2,114.2,198.9,68.4,56.7,3285.0,2,4,120.0,5,3.46,2.19,8.4,95.0,5000.0,19.0,24,0,1,1,0,1,0,16695.0
114,0,87,4,4,2,114.2,198.9,68.4,58.7,3485.0,2,4,152.0,3,3.7,3.52,21.0,95.0,4150.0,25.0,25,1,0,1,0,0,1,17075.0
115,0,85,4,3,2,107.9,186.7,68.4,56.7,3075.0,2,4,120.0,5,3.46,3.19,8.4,97.0,5000.0,19.0,24,0,1,1,0,1,0,16630.0
116,0,85,4,3,2,107.9,186.7,68.4,56.7,3252.0,2,4,152.0,3,3.7,3.52,21.0,95.0,4150.0,28.0,33,1,0,1,0,0,1,17950.0
117,0,88,4,3,2,108.0,186.7,68.3,56.0,3130.0,2,4,134.0,5,3.61,3.21,7.0,142.0,5600.0,18.0,24,0,1,1,0,0,1,18150.0
118,1,92,2,2,1,93.7,157.3,63.8,50.8,1918.0,3,4,90.0,1,2.97,3.23,9.4,68.0,5500.0,37.0,41,0,1,1,0,1,0,5572.0
119,1,89,2,2,1,93.7,157.3,63.8,50.8,2128.0,3,4,98.0,6,3.03,3.39,7.6,102.0,5500.0,24.0,30,0,1,1,0,0,1,7957.0
120,1,92,4,2,1,93.7,157.3,63.8,50.8,1989.0,3,4,90.0,1,2.97,3.23,9.4,68.0,5500.0,25.056962025316455,38,0,0,1,0,1,0,6229.0
121,1,93,4,3,1,93.7,167.3,63.8,50.8,1989.0,3,4,90.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,38,0,1,1,0,1,0,6692.0
122,1,91,4,3,1,93.7,167.3,63.8,50.8,2191.0,3,4,98.0,1,2.97,3.23,9.4,68.0,5500.0,31.0,38,0,1,1,0,1,0,7609.0
123,-1,94,4,4,1,103.3,174.6,64.6,59.8,2535.0,3,4,122.0,1,3.35,3.46,8.5,88.0,5000.0,24.0,30,0,1,1,0,1,0,8921.0
124,3,90,2,2,2,95.9,173.2,66.3,50.2,2818.0,3,4,156.0,6,3.59,3.86,7.0,145.0,5000.0,19.0,24,0,0,1,0,0,1,12764.0
125,3,98,2,2,2,94.5,168.9,68.3,50.2,2778.0,3,4,151.0,5,3.94,3.11,9.5,143.0,5500.0,19.0,27,0,0,1,0,1,0,22018.0
126,3,95,2,1,2,89.5,168.9,65.0,51.6,2756.0,4,6,194.0,5,3.74,2.9,9.5,207.0,5900.0,17.0,25,0,1,0,1,1,0,32528.0
127,3,97,2,1,2,89.5,168.9,65.0,51.6,2756.0,4,6,194.0,5,3.74,2.9,9.5,207.0,5900.0,17.0,25,0,1,0,1,1,0,34028.0
128,3,96,2,0,2,89.5,168.9,65.0,51.6,2800.0,4,6,194.0,5,3.74,2.9,9.5,207.0,5900.0,17.0,25,0,1,0,0,1,0,37028.0
129,1,97,2,2,2,98.4,175.7,72.3,50.5,3366.0,1,8,203.0,5,3.94,3.11,10.0,288.0,5750.0,17.0,28,0,0,1,0,1,0,31400.5
130,0,99,4,4,1,96.1,181.5,66.5,55.2,2579.0,3,4,132.0,5,3.46,3.9,8.7,90.0,5100.0,23.0,31,0,1,1,0,1,0,9295.0
131,2,100,2,2,1,96.1,176.8,66.6,50.5,2460.0,3,4,132.0,5,3.46,3.9,8.7,90.0,5100.0,23.0,31,0,0,1,0,1,0,9895.0
132,3,101,2,2,1,99.1,186.6,66.5,56.1,2658.0,3,4,121.0,5,3.54,3.07,9.31,110.0,5250.0,21.0,28,0,1,1,0,1,0,11850.0
133,2,103,4,3,1,99.1,186.6,66.5,56.1,2695.0,3,4,121.0,5,3.54,3.07,9.3,110.0,5250.0,21.0,28,0,1,1,0,1,0,12170.0
134,3,103,2,2,1,99.1,186.6,66.5,56.1,2707.0,3,4,121.0,5,2.54,2.07,9.3,110.0,5250.0,21.0,28,0,1,1,0,1,0,15040.0
135,2,102,4,3,1,99.1,186.6,66.5,56.1,2758.0,3,4,121.0,5,3.54,3.07,9.3,110.0,5250.0,21.0,28,0,1,1,0,1,0,15510.0
136,3,102,2,2,1,99.1,186.6,66.5,56.1,2808.0,0,4,121.0,5,3.54,3.07,9.0,160.0,5500.0,19.0,26,0,0,1,0,0,1,18150.0
137,2,101,4,3,1,99.1,186.6,66.5,56.1,2847.0,0,4,121.0,5,3.54,3.07,9.0,160.0,5500.0,19.0,26,0,1,1,0,0,1,18620.0
138,2,104,2,2,1,93.7,156.9,63.4,53.7,2050.0,4,4,97.0,1,3.62,2.36,9.0,69.0,4900.0,31.0,36,0,1,1,0,1,0,5118.0
139,2,107,2,2,1,93.7,157.9,63.6,53.7,2120.0,4,4,108.0,1,3.62,2.64,8.7,73.0,4400.0,26.0,31,0,0,1,0,1,0,7053.0
140,2,107,2,2,0,93.3,157.3,63.8,55.7,2240.0,4,4,108.0,1,3.62,2.64,8.7,73.0,4400.0,26.0,31,0,1,1,0,1,0,7603.0
141,0,104,4,3,1,97.2,172.0,65.4,52.5,2145.0,4,4,108.0,1,3.62,2.64,9.5,82.0,4800.0,32.0,37,0,1,1,0,1,0,7126.0
142,0,106,4,3,1,97.2,172.0,65.4,52.5,2190.0,4,4,108.0,1,3.62,2.64,9.5,82.0,4400.0,28.0,33,0,1,1,0,1,0,7775.0
143,0,105,4,3,1,97.2,172.0,65.4,52.5,2340.0,4,4,108.0,5,3.62,2.64,9.0,94.0,5200.0,26.0,32,0,1,1,0,1,0,9960.0
144,0,108,4,3,0,97.0,172.0,65.4,54.3,2385.0,4,4,108.0,1,3.62,2.64,9.0,82.0,4800.0,24.0,25,0,0,1,0,1,0,9233.0
145,0,109,4,3,0,97.0,172.0,65.4,54.3,2510.0,4,4,108.0,5,3.62,2.64,7.7,111.0,4800.0,24.0,29,0,1,1,0,0,1,11259.0
146,0,110,4,4,1,97.0,173.5,65.4,53.0,2290.0,4,4,108.0,1,3.62,2.64,9.0,82.0,4800.0,28.0,32,0,1,1,0,1,0,7463.0
147,0,111,4,4,1,97.0,173.5,65.4,53.0,2455.0,4,4,108.0,5,3.62,2.64,9.0,94.0,5200.0,25.0,31,0,1,1,0,1,0,10198.0
148,0,107,4,4,0,96.9,173.6,65.4,54.9,2420.0,4,4,108.0,1,3.62,2.64,9.0,82.0,4800.0,23.0,29,0,1,1,0,1,0,8013.0
149,0,107,4,4,0,96.9,173.6,65.4,54.9,2650.0,4,4,108.0,5,3.62,2.64,7.7,111.0,4800.0,23.0,23,0,1,1,0,0,1,11694.0
150,1,117,2,2,1,95.7,158.7,63.6,54.5,1985.0,3,4,92.0,1,3.05,3.03,9.0,62.0,4800.0,35.0,39,0,0,1,0,1,0,5348.0
151,1,115,2,2,1,95.7,158.7,63.6,54.5,2040.0,3,4,92.0,1,3.05,3.03,9.0,62.0,4800.0,31.0,38,0,1,1,0,1,0,6338.0
152,1,113,4,2,1,95.7,158.7,63.6,54.5,2015.0,3,4,92.0,1,3.05,3.03,9.0,62.0,4800.0,31.0,38,0,1,1,0,1,0,6488.0
153,0,116,4,4,1,95.7,169.7,63.6,59.1,2280.0,3,4,92.0,1,3.05,3.03,9.0,62.0,4800.0,31.0,37,0,1,1,0,1,0,6918.0
154,0,114,4,4,0,95.7,169.7,63.6,59.1,2290.0,3,4,92.0,1,3.05,3.03,9.0,62.0,4800.0,27.0,32,0,1,1,0,1,0,7898.0
155,0,112,4,4,0,95.7,169.7,63.6,59.1,3110.0,3,4,92.0,1,3.05,3.03,9.0,62.0,4800.0,27.0,32,0,1,1,0,1,0,8778.0
156,0,118,4,3,1,95.7,166.3,64.4,53.0,2081.0,3,4,98.0,1,3.19,3.03,9.0,70.0,4800.0,30.0,37,0,1,1,0,0,0,6938.0
157,0,113,4,2,1,95.7,166.3,64.4,52.8,2109.0,3,4,98.0,1,3.19,3.03,9.0,70.0,4800.0,30.0,37,0,1,1,0,1,0,7198.0
158,0,115,4,3,1,95.7,166.3,64.4,53.0,2275.0,3,4,110.0,3,3.27,3.35,22.5,56.0,4500.0,34.0,36,1,0,1,0,1,0,7898.0
